Unnamed: 0,NO,Description,Quantity,Unit price,Total Price p,Author,ISBN
,1.0,Introduction to probability and statistics for engineers and scientists: Third Edition,3.0,440751.0,1322254.0,2,N/A
,2.0,Discrete Mathematics and its Applications: Seventh Edition,3.0,234235.0,702706.0,2,9780763753818
,3.0,Applied Numerical Analysis: Seventh Edition,3.0,94320.0,282960.0,2,N/A
,4.0,"Linear Algebra and Its Applications, 4th Edition",3.0,114073.0,342219.0,2,N/A
,5.0,Discrete and Combinatorial Mathematics: 5th edition,3.0,235883.0,707650.0,2,N/A
,6.0,Differential Equations and Boundary Values Problems. Computing and Modeling: 5 edition,3.0,235883.0,707650.0,2,N/A
,7.0,Introduction to Graph Theory,3.0,170000.0,510000.0,2,N/A
,,Second Edition,,,,2,N/A
,8.0,Single Variable Calculus Early transcendental:  Eighth edition,3.0,251539.0,754618.0,2,9780763753818
,9.0,Cambridge Grammar of English,1.0,228907.0,228907.0,2,N/A
,10.0,Curriculum Development: A Textbook for Students ,1.0,20790.0,20790.0,2,N/A
,11.0,Practical English Usage ,1.0,191003.0,191003.0,2,N/A
,12.0,The Practice of English Language Teaching. (3rd Ed).,1.0,54483.0,54483.0,2,N/A
,13.0,A communicative grammar of English third edition,1.0,142387.0,142387.0,2,N/A
,14.0,"A field guide for science writers, second edition",1.0,29672.0,29672.0,2,N/A
,15.0,"A guide to research and writing, third edition",1.0,59163.0,59163.0,2,N/A
,16.0,A practical course in English pronunciation With CD,1.0,59163.0,59163.0,2,N/A
,17.0,A university grammar of English,1.0,22907.0,22907.0,2,N/A
,18.0,A workbook on english grammar and composition,1.0,146507.0,146507.0,2,N/A
,19.0,"Academic writing for graduates students : Essential tasks and skills ,second edition",1.0,17139.0,17139.0,2,N/A
,20.0,"Advanced English grammar : A self-study reference and practice book for advanced south asian students,with answers",6.0,39991.0,239947.0,2,N/A
,21.0,"Advanced grammar in use : A self-study reference and practice book for advanced learners of English,with answers",1.0,28181.0,28181.0,2,N/A
,22.0,"Advanced grammar in use,second edition : A self-study reference and practice book for advanced learners of English,with answers",1.0,43507.0,43507.0,2,N/A
,23.0,Beyond words : Cultural texts for Reading and writing 2nd Edition,1.0,64107.0,64107.0,2,N/A
,24.0,Cambridge advanced learner's dictionary,1.0,113547.0,113547.0,2,N/A
,25.0,Cambridge English for job- hunting,2.0,72018.0,144035.0,2,N/A
,26.0,"Cambridge English Pronouncing Dictionary, 18th edition = With CD",2.0,53066.0,106131.0,2,9780521680875
,27.0,Collins Dictionary&Thesaurus,1.0,119315.0,119315.0,2,N/A
,28.0,Collins English Dictionary&Thesaurus,1.0,27851.0,27851.0,2,N/A
,29.0,"Compact oxford Dictionary,thesaurus ,and word power guide",2.0,38234.0,76467.0,2,N/A
,30.0,Current english grammar and usage with composition,2.0,62954.0,125907.0,2,N/A
,31.0,"English grammar in use, third edition : A reference and practical book for intermediate students of english",1.0,18787.0,18787.0,2,N/A
,32.0,English grammar just for you,2.0,782000.0,1564000.0,2,N/A
,33.0,"English literature, Enlarged edition",3.0,71555.0,214666.0,2,N/A
,34.0,English pronunciation in use : Self-study and classroom use,1.0,31312.0,31312.0,2,N/A
,35.0,Essential system administration Second edition,1.0,35267.0,35267.0,2,N/A
,36.0,Essentials of assessment report writing,1.0,228907.0,228907.0,2,N/A
,37.0,"Great writing 4 : Great essays,third edition",1.0,12278.0,12278.0,2,N/A
,38.0,"How to read better and faster, fourth edition",1.0,68227.0,68227.0,2,N/A
,39.0,How to read faster and recall more Learn the art of speed reading with maximum recall,1.0,3296.0,3296.0,2,N/A
,40.0,"How to research, third edition",1.0,59987.0,59987.0,2,N/A
,41.0,"How to write essays : A step-by-step guide for all levels,with sample essays 2nd edition",1.0,31147.0,31147.0,2,N/A
,42.0,"Modern English grammar : Structure,meanings and usage",2.0,54714.0,109427.0,2,N/A
,43.0,Longman Dictionary of contemporary English,2.0,9394.0,18787.0,2,N/A
,44.0,"Oxford Advanced learner's dictionary of current english, 8th edition",2.0,17634.0,35267.0,2,N/A
,45.0,"Oxford dictionary of English, second edition, revised",1.0,213440.0,213440.0,2,N/A
,46.0,"Oxford dictionary of English, third edition",1.0,68227.0,68227.0,2,9780199571123
,47.0,Oxford english for electronics,7.0,29895.0,209263.0,2,N/A
,48.0,Oxford English for information technology : Teacher's guide,10.0,52242.0,522416.0,2,N/A
,49.0,Panorama Reading 3 Student Book: Building Perspective Through Reading 1st Edition,1.0,8116.0,8116.0,2,N/A
,50.0,Python Machine Learning From Scratch - Step by Step Guide with Scikit-Learn and TensorFlow,6.0,75918.0,455506.0,2,N/A
,51.0,Transformative Artificial Intelligence (AI) Driverless Self-Driving Cars: Practical Advances in AI and Machine Learning,4.0,40129.0,160515.0,2,N/A
,52.0,Python Machine Learning: A Technical Approach To Python Machine Learning For Beginners,6.0,26807.0,160843.0,2,N/A
,53.0,Robot is the Boss: How to do Business with Artificial Intelligence,4.0,157137.0,628547.0,2,9783662557044
,54.0,Building Intelligent Systems: A Guide to Machine Learning Engineering,4.0,41777.0,167107.0,2,9781999579579
,55.0,"Hands-On Machine Learning with Scikit-Learn and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems 1st Edition",4.0,74737.0,298947.0,2,N/A
,56.0,Python Data Science Handbook: Essential Tools for Working with Data 1st Edition,12.0,77098.0,925181.0,2,N/A
,57.0,Deep Learning (Adaptive Computation and Machine Learning series),4.0,103742.0,414966.0,2,N/A
,58.0,PHP & MySQL: The Missing Manual,12.0,26587.0,319046.0,2,N/A
,59.0,PHP and MySQL Web Development,10.0,72978.0,729784.0,2,N/A
,60.0,Programming PHP: Creating Dynamic Web Pages ,12.0,35898.0,430781.0,2,N/A
,61.0,"Learning PHP, MySQL, JavaScript, & CSS: A Step-by-Step Guide to Creating Dynamic Websites",12.0,13650.0,163805.0,2,N/A
,62.0,Murach’s PHP and MySQL,6.0,77098.0,462590.0,2,N/A
,63.0,"PHP In Action: Objects, Design, Agility: Modern Software Practices For Php",6.0,52378.0,314270.0,2,N/A
,64.0,PHP: A Beginner’s Guide,11.0,60618.0,666802.0,2,N/A
,65.0,Head First PHP & MySQL,12.0,36525.0,438295.0,2,N/A
,66.0,PHP & MySQL Novice to Ninja,12.0,33426.0,401117.0,2,N/A
,67.0,The Joy of PHP Programming: A Beginner’s Guide to Programming Interactive Web Applications with PHP and MySQL,12.0,28153.0,337833.0,2,N/A
,68.0,Learn Python 3 the Hard Way,12.0,36558.0,438691.0,2,N/A
,69.0,Effective Computation in Physics: Field Guide to Research with Python,6.0,57954.0,347726.0,2,N/A
,70.0,"Think Python: How to Think Like a Computer Scientist, 2nd edition",4.0,51665.0,206659.0,2,N/A
,71.0,"Invent Your Own Computer Games with Python, 4th edition",12.0,29702.0,356423.0,2,N/A
,72.0,"Head-First Python, 2nd edition",12.0,87646.0,1051747.0,2,N/A
,73.0,Python Crash Course,12.0,39013.0,468157.0,2,N/A
,74.0,Lab Manual for Murach's HTML5 and CSS3,2.0,156066.0,312131.0,2,N/A
,75.0,Html5 a Complete Guide,3.0,139475.0,418426.0,2,N/A
,76.0,HTML5 for Masterminds,2.0,40706.0,81411.0,2,N/A
,77.0,Mastering Bootstrap 4: Master the latest version of Bootstrap 4 to build highly customized responsive web apps,2.0,62954.0,125907.0,2,N/A
,78.0,"HTML, CSS, and JavaScript All in One",2.0,40706.0,81411.0,2,N/A
,79.0,"Learning PHP, MySQL & JavaScript: With jQuery, CSS & HTML5",2.0,48946.0,97891.0,2,N/A
,80.0,"Getting Mean with Mongo, Express, Angular, and Node",2.0,50594.0,101187.0,2,N/A
,81.0,JavaScript for impatient programmers,2.0,34114.0,68227.0,2,N/A
,82.0,"Web Programming with HTML5, CSS, and JavaScript Pap/Psc Edition,",2.0,149474.0,298947.0,2,N/A
,83.0,"Programming JavaScript Applications: Robust Web Architecture with Node, HTML5, and Moderns JS Libraries,",2.0,39058.0,78115.0,2,N/A
,84.0,Advanced JavaScript: Speed up web development with the powerful features and benefits of JavaScript,2.0,38234.0,76467.0,2,N/A
,85.0,Fundamentals of Database Systems. 7th Ed,5.0,260845.0,1304227.0,2,9781292097619
,86.0,Fundamentals of Database Systems. 5th Ed,5.0,157845.0,789227.0,Unknown,N/A
,87.0,Database Systems 4th Ed,5.0,87805.0,439027.0,Unknown,N/A
,88.0,Database Concepts 8th Ed,5.0,153725.0,768627.0,Unknown,N/A
