Unnamed: 0,NO,Description,Quantity,Unit price,Total Price p,Author,ISBN,Publisher
,1.0,Introduction to probability and statistics for engineers and scientists: Third Edition,3.0,440751.0,1322254.0,Unknown Author,N/A,Unknown Publisher
,2.0,Discrete Mathematics and its Applications: Seventh Edition,3.0,234235.0,702706.0,Unknown Author,9780763753818,Unknown Publisher
,3.0,Applied Numerical Analysis: Seventh Edition,3.0,94320.0,282960.0,Unknown Author,N/A,Unknown Publisher
,4.0,"Linear Algebra and Its Applications, 4th Edition",3.0,114073.0,342219.0,Unknown Author,N/A,Unknown Publisher
,5.0,Discrete and Combinatorial Mathematics: 5th edition,3.0,235883.0,707650.0,Unknown Author,N/A,Unknown Publisher
,6.0,Differential Equations and Boundary Values Problems. Computing and Modeling: 5 edition,3.0,235883.0,707650.0,Unknown Author,N/A,Unknown Publisher
,7.0,Introduction to Graph Theory,3.0,170000.0,510000.0,Unknown Author,N/A,Unknown Publisher
,,Second Edition,,,,Unknown Author,N/A,Unknown Publisher
,8.0,Single Variable Calculus Early transcendental:  Eighth edition,3.0,251539.0,754618.0,Unknown Author,9780763753818,Unknown Publisher
,9.0,Cambridge Grammar of English,1.0,228907.0,228907.0,Unknown Author,N/A,Unknown Publisher
,10.0,Curriculum Development: A Textbook for Students ,1.0,20790.0,20790.0,Unknown Author,N/A,Unknown Publisher
,11.0,Practical English Usage ,1.0,191003.0,191003.0,Unknown Author,N/A,Unknown Publisher
,12.0,The Practice of English Language Teaching. (3rd Ed).,1.0,54483.0,54483.0,Unknown Author,N/A,Unknown Publisher
,13.0,A communicative grammar of English third edition,1.0,142387.0,142387.0,Unknown Author,N/A,Unknown Publisher
,14.0,"A field guide for science writers, second edition",1.0,29672.0,29672.0,Unknown Author,N/A,Unknown Publisher
,15.0,"A guide to research and writing, third edition",1.0,59163.0,59163.0,Unknown Author,N/A,Unknown Publisher
,16.0,A practical course in English pronunciation With CD,1.0,59163.0,59163.0,Unknown Author,N/A,Unknown Publisher
,17.0,A university grammar of English,1.0,22907.0,22907.0,Unknown Author,N/A,Unknown Publisher
,18.0,A workbook on english grammar and composition,1.0,146507.0,146507.0,Unknown Author,N/A,Unknown Publisher
,19.0,"Academic writing for graduates students : Essential tasks and skills ,second edition",1.0,17139.0,17139.0,Unknown Author,N/A,Unknown Publisher
,20.0,"Advanced English grammar : A self-study reference and practice book for advanced south asian students,with answers",6.0,39991.0,239947.0,Unknown Author,N/A,Unknown Publisher
,21.0,"Advanced grammar in use : A self-study reference and practice book for advanced learners of English,with answers",1.0,28181.0,28181.0,Unknown Author,N/A,Unknown Publisher
,22.0,"Advanced grammar in use,second edition : A self-study reference and practice book for advanced learners of English,with answers",1.0,43507.0,43507.0,Unknown Author,N/A,Unknown Publisher
,23.0,Beyond words : Cultural texts for Reading and writing 2nd Edition,1.0,64107.0,64107.0,Unknown Author,N/A,Unknown Publisher
,24.0,Cambridge advanced learner's dictionary,1.0,113547.0,113547.0,Unknown Author,N/A,Unknown Publisher
,25.0,Cambridge English for job- hunting,2.0,72018.0,144035.0,Error,N/A,Error
,26.0,"Cambridge English Pronouncing Dictionary, 18th edition = With CD",2.0,53066.0,106131.0,Error,N/A,Error
,27.0,Collins Dictionary&Thesaurus,1.0,119315.0,119315.0,Unknown Author,N/A,Unknown Publisher
,28.0,Collins English Dictionary&Thesaurus,1.0,27851.0,27851.0,Unknown Author,N/A,Unknown Publisher
,29.0,"Compact oxford Dictionary,thesaurus ,and word power guide",2.0,38234.0,76467.0,Unknown Author,N/A,Unknown Publisher
,30.0,Current english grammar and usage with composition,2.0,62954.0,125907.0,Unknown Author,N/A,Unknown Publisher
,31.0,"English grammar in use, third edition : A reference and practical book for intermediate students of english",1.0,18787.0,18787.0,Unknown Author,N/A,Unknown Publisher
,32.0,English grammar just for you,2.0,782000.0,1564000.0,Unknown Author,N/A,Unknown Publisher
